ticker,bid,ask,bid_ask_spread,spread_percent,bid_size,ask_size,last_price,timestamp,note
WWD,,,,,,,,2025-10-14 21:03:08.722167,TWS API not available - placeholder data
WSM,,,,,,,,2025-10-14 21:03:08.722168,TWS API not available - placeholder data
ATKR,,,,,,,,2025-10-14 21:03:08.722168,TWS API not available - placeholder data
BKE,,,,,,,,2025-10-14 21:03:08.722169,TWS API not available - placeholder data
NB,,,,,,,,2025-10-14 21:03:08.722169,TWS API not available - placeholder data
SPB,,,,,,,,2025-10-14 21:03:08.722169,TWS API not available - placeholder data
SBET,,,,,,,,2025-10-14 21:03:08.722170,TWS API not available - placeholder data
BTDR,,,,,,,,2025-10-14 21:03:08.722170,TWS API not available - placeholder data
ASTS,,,,,,,,2025-10-14 21:03:08.722170,TWS API not available - placeholder data
ACLX,,,,,,,,2025-10-14 21:03:08.722177,TWS API not available - placeholder data
YOU,,,,,,,,2025-10-14 21:03:08.722177,TWS API not available - placeholder data
COGT,,,,,,,,2025-10-14 21:03:08.722178,TWS API not available - placeholder data
CELC,,,,,,,,2025-10-14 21:03:08.722178,TWS API not available - placeholder data
PVH,,,,,,,,2025-10-14 21:03:08.722178,TWS API not available - placeholder data
FIVE,,,,,,,,2025-10-14 21:03:08.722179,TWS API not available - placeholder data
NCNO,,,,,,,,2025-10-14 21:03:08.722179,TWS API not available - placeholder data
NTNX,,,,,,,,2025-10-14 21:03:08.722179,TWS API not available - placeholder data
SNOW,,,,,,,,2025-10-14 21:03:08.722180,TWS API not available - placeholder data
VEEV,,,,,,,,2025-10-14 21:03:08.722181,TWS API not available - placeholder data
VSCO,,,,,,,,2025-10-14 21:03:08.722181,TWS API not available - placeholder data
ZS,,,,,,,,2025-10-14 21:03:08.722181,TWS API not available - placeholder data
PSTG,,,,,,,,2025-10-14 21:03:08.722182,TWS API not available - placeholder data
ASAN,,,,,,,,2025-10-14 21:03:08.722182,TWS API not available - placeholder data
REX,,,,,,,,2025-10-14 21:03:08.722183,TWS API not available - placeholder data
MRVL,,,,,,,,2025-10-14 21:03:08.722183,TWS API not available - placeholder data
IOT,,,,,,,,2025-10-14 21:03:08.722183,TWS API not available - placeholder data
GCT,,,,,,,,2025-10-14 21:03:08.722184,TWS API not available - placeholder data
FRO,,,,,,,,2025-10-14 21:03:08.722184,TWS API not available - placeholder data
FLNG,,,,,,,,2025-10-14 21:03:08.722184,TWS API not available - placeholder data
